#   t       A            B            C            D
0.096000 2.6973776557 0.2552517789 0.0000000000 0.0000000000
0.097000 2.6976329075 0.2577763059 0.0000000000 0.0000000000
0.098000 2.6978906838 0.2602976429 0.0000000000 0.0000000000
0.099000 2.6981509815 0.2628157627 0.0000000000 0.0000000000
0.100000 2.6984137972 0.2653306380 0.0000000000 0.0000000000
0.101000 2.6986791279 0.2678422420 0.0000000000 0.0000000000
0.102000 2.6989469701 0.2703505477 0.0000000000 0.0000000000
0.103000 2.6992173207 0.2728555284 0.0000000000 0.0000000000
0.104000 2.6994901762 0.2753571577 0.0000000000 0.0000000000
0.105000 2.6997655334 0.2778554092 0.0000000000 0.0000000000
0.106000 2.7000433888 0.2803502567 0.0000000000 0.0000000000
0.107000 2.7003237390 0.2828416741 0.0000000000 0.0000000000
0.108000 2.7006065807 0.2853296355 0.0000000000 0.0000000000
0.109000 2.7008919103 0.2878141153 0.0000000000 0.0000000000
0.110000 2.7011797244 0.2902950879 0.0000000000 0.0000000000
0.111000 2.7014700195 0.2927725278 0.0000000000 0.0000000000
0.112000 2.7017627921 0.2952464099 0.0000000000 0.0000000000
0.113000 2.7020580385 0.2977167091 0.0000000000 0.0000000000
0.114000 2.7023557552 0.3001834005 0.0000000000 0.0000000000
0.115000 2.7026559386 0.3026464594 0.0000000000 0.0000000000
0.116000 2.7029585850 0.3051058612 0.0000000000 0.0000000000
0.117000 2.7032636909 0.3075615816 0.0000000000 0.0000000000
0.118000 2.7035712525 0.3100135962 0.0000000000 0.0000000000
0.119000 2.7038812661 0.3124618812 0.0000000000 0.0000000000
0.120000 2.7041937280 0.3149064125 0.0000000000 0.0000000000
0.121000 2.7045086344 0.3173471665 0.0000000000 0.0000000000
0.122000 2.7048259815 0.3197841197 0.0000000000 0.0000000000
0.123000 2.7051457657 0.3222172487 0.0000000000 0.0000000000
0.124000 2.7054679829 0.3246465303 0.0000000000 0.0000000000
0.125000 2.7057926294 0.3270719415 0.0000000000 0.0000000000
0.126000 2.7061197014 0.3294934595 0.0000000000 0.0000000000
0.127000 2.7064491948 0.3319110616 0.0000000000 0.0000000000
0.128000 2.7067811059 0.3343247253 0.0000000000 0.0000000000
0.129000 2.7071154306 0.3367344283 0.0000000000 0.0000000000
0.130000 2.7074521651 0.3391401486 0.0000000000 0.0000000000
0.131000 2.7077913052 0.3415418641 0.0000000000 0.0000000000
0.132000 2.7081328471 0.3439395530 0.0000000000 0.0000000000
0.133000 2.7084767866 0.3463331939 0.0000000000 0.0000000000
0.134000 2.7088231198 0.3487227652 0.0000000000 0.0000000000
0.135000 2.7091718426 0.3511082458 0.0000000000 0.0000000000
0.136000 2.7095229508 0.3534896145 0.0000000000 0.0000000000
0.137000 2.7098764404 0.3558668506 0.0000000000 0.0000000000
0.138000 2.7102323073 0.3582399333 0.0000000000 0.0000000000
0.139000 2.7105905472 0.3606088421 0.0000000000 0.0000000000
0.140000 2.7109511561 0.3629735567 0.0000000000 0.0000000000
0.141000 2.7113141296 0.3653340569 0.0000000000 0.0000000000
0.142000 2.7116794637 0.3676903228 0.0000000000 0.0000000000
0.143000 2.7120471540 0.3700423346 0.0000000000 0.0000000000
0.144000 2.7124171963 0.3723900728 0.0000000000 0.0000000000
0.145000 2.7127895864 0.3747335178 0.0000000000 0.0000000000
0.146000 2.7131643199 0.3770726505 0.0000000000 0.0000000000
0.147000 2.7135413926 0.3794074519 0.0000000000 0.0000000000
0.148000 2.7139208000 0.3817379030 0.0000000000 0.0000000000
0.149000 2.7143025379 0.3840639852 0.0000000000 0.0000000000
0.150000 2.7146866019 0.3863856800 0.0000000000 0.0000000000
0.151000 2.7150729876 0.3887029692 0.0000000000 0.0000000000
0.152000 2.7154616906 0.3910158345 0.0000000000 0.0000000000
0.153000 2.7158527064 0.3933242581 0.0000000000 0.0000000000
0.154000 2.7162460307 0.3956282222 0.0000000000 0.0000000000
0.155000 2.7166416589 0.3979277093 0.0000000000 0.0000000000
0.156000 2.7170395866 0.4002227020 0.0000000000 0.0000000000
0.157000 2.7174398093 0.4025131830 0.0000000000 0.0000000000
0.158000 2.7178423225 0.4047991355 0.0000000000 0.0000000000
0.159000 2.7182471216 0.4070805425 0.0000000000 0.0000000000
0.160000 2.7186542022 0.4093573876 0.0000000000 0.0000000000
0.161000 2.7190635595 0.4116296541 0.0000000000 0.0000000000
0.162000 2.7194751892 0.4138973259 0.0000000000 0.0000000000
0.163000 2.7198890865 0.4161603869 0.0000000000 0.0000000000
0.164000 2.7203052469 0.4184188213 0.0000000000 0.0000000000
0.165000 2.7207236657 0.4206726132 0.0000000000 0.0000000000
0.166000 2.7211443383 0.4229217473 0.0000000000 0.0000000000
0.167000 2.7215672601 0.4251662083 0.0000000000 0.0000000000
0.168000 2.7219924263 0.4274059809 0.0000000000 0.0000000000
0.169000 2.7224198323 0.4296410502 0.0000000000 0.0000000000
0.170000 2.7228494733 0.4318714015 0.0000000000 0.0000000000
0.171000 2.7232813447 0.4340970202 0.0000000000 0.0000000000
0.172000 2.7237154417 0.4363178919 0.0000000000 0.0000000000
0.173000 2.7241517596 0.4385340025 0.0000000000 0.0000000000
0.174000 2.7245902936 0.4407453378 0.0000000000 0.0000000000
0.175000 2.7250310390 0.4429518842 0.0000000000 0.0000000000
0.176000 2.7254739909 0.4451536279 0.0000000000 0.0000000000
0.177000 2.7259191445 0.4473505555 0.0000000000 0.0000000000
0.178000 2.7263664950 0.4495426537 0.0000000000 0.0000000000
