#   t       A            B            C            D
0.000000 2.6850000000 0.0000000000 0.0000000000 0.0033562500
0.001000 2.6850000000 0.0000000000 0.0000033563 0.0067121858
0.002000 2.6850000000 0.0000000000 0.0000100684 0.0100671791
0.003000 2.6850000000 0.0000000000 0.0000201356 0.0134206021
0.004000 2.6850000000 0.0000000000 0.0000335562 0.0167718281
0.005000 2.6850000000 0.0000000000 0.0000503280 0.0201202317
0.006000 2.6850000000 0.0000000000 0.0000704483 0.0234651897
0.007000 2.6850000000 0.0000000000 0.0000939135 0.0268060810
0.008000 2.6850000000 0.0000000000 0.0001207195 0.0301422875
0.009000 2.6850000000 0.0000000000 0.0001508618 0.0334731944
0.010000 2.6850000000 0.0000000000 0.0001843350 0.0367981907
0.011000 2.6850000000 0.0000000000 0.0002211332 0.0401166696
0.012000 2.6850000000 0.0000000000 0.0002612499 0.0434280289
0.013000 2.6850000000 0.0000000000 0.0003046779 0.0467316714
0.014000 2.6850000000 0.0000000000 0.0003514096 0.0500270057
0.015000 2.6850000000 0.0000000000 0.0004014366 0.0533134460
0.016000 2.6850000000 0.0000000000 0.0004547500 0.0565904129
0.017000 2.6850000000 0.0000000000 0.0005113405 0.0598573339
0.018000 2.6850000000 0.0000000000 0.0005711978 0.0631136433
0.019000 2.6850000000 0.0000000000 0.0006343114 0.0663587833
0.020000 2.6850000000 0.0000000000 0.0007006702 0.0695922035
0.021000 2.6850000000 0.0000000000 0.0007702624 0.0728133620
0.022000 2.6850000000 0.0000000000 0.0008430758 0.0760217253
0.023000 2.6850000000 0.0000000000 0.0009190975 0.0792167688
0.024000 2.6850000000 0.0000000000 0.0009983143 0.0823979773
0.025000 2.6850000000 0.0000000000 0.0010807123 0.0855648447
0.026000 2.6850000000 0.0000000000 0.0011662771 0.0887168750
0.027000 2.6850000000 0.0000000000 0.0012549940 0.0918535821
0.028000 2.6850000000 0.0000000000 0.0013468476 0.0949744903
0.029000 2.6850000000 0.0000000000 0.0014418220 0.0980791344
0.030000 2.6850000000 0.0000000000 0.0015399012 0.1011670600
0.031000 2.6850000000 0.0000000000 0.0016410682 0.1042378238
0.032000 2.6850000000 0.0000000000 0.0017453061 0.1072909936
0.033000 2.6850000000 0.0000000000 0.0018525971 0.1103261487
0.034000 2.6850000000 0.0000000000 0.0019629232 0.1133428799
0.035000 2.6850000000 0.0000000000 0.0020762661 0.1163407898
0.036000 2.6850000000 0.0000000000 0.0021926069 0.1193194929
0.037000 2.6850000000 0.0000000000 0.0023119264 0.1222786156
0.038000 2.6850000000 0.0000000000 0.0024342050 0.1252177966
0.039000 2.6850000000 0.0000000000 0.0025594228 0.1281366866
0.040000 2.6850000000 0.0000000000 0.0026875595 0.1310349489
0.041000 2.6850000000 0.0000000000 0.0028185944 0.1339122588
0.042000 2.6850000000 0.0000000000 0.0029525067 0.1367683043
0.043000 2.6850000000 0.0000000000 0.0030892750 0.1396027858
0.044000 2.6850000000 0.0000000000 0.0032288778 0.1424154163
0.045000 2.6850000000 0.0000000000 0.0033712932 0.1452059210
0.046000 2.6850000000 0.0000000000 0.0035164991 0.1479740380
0.047000 2.6850000000 0.0000000000 0.0036644731 0.1507195176
0.048000 2.6850000000 0.0000000000 0.0038151927 0.1534421228
0.049000 2.6850000000 0.0000000000 0.0039686348 0.1561416288
0.050000 2.6850000000 0.0000000000 0.0041247764 0.1588178234
0.051000 2.6850000000 0.0000000000 0.0042835942 0.1614705065
0.052000 2.6850000000 0.0000000000 0.0044450647 0.1640994905
0.053000 2.6850000000 0.0000000000 0.0046091642 0.1667045996
0.054000 2.6850000000 0.0000000000 0.0047758688 0.1692856705
0.055000 2.6850000000 0.0000000000 0.0049451545 0.1718425515
0.056000 2.6850000000 0.0000000000 0.0051169971 0.1743751029
0.057000 2.6850000000 0.0000000000 0.0052913722 0.1768831967
0.058000 2.6850000000 0.0000000000 0.0054682553 0.1793667164
0.059000 2.6850000000 0.0000000000 0.0056476221 0.1818255570
0.060000 2.6850000000 0.0000000000 0.0058294476 0.1842596247
0.061000 2.6850000000 0.0000000000 0.0060137072 0.1866688370
0.062000 2.6850000000 0.0000000000 0.0062003761 0.1890531222
0.063000 2.6850000000 0.0000000000 0.0063894292 0.1914124194
0.064000 2.6850000000 0.0000000000 0.0065808416 0.1937466782
0.065000 2.6850000000 0.0000000000 0.0067745883 0.1960558589
0.066000 2.6850000000 0.0000000000 0.0069706442 0.1983399317
0.067000 2.6850000000 0.0000000000 0.0071689841 0.2005988771
0.068000 2.6850000000 0.0000000000 0.0073695830 0.2028326851
0.069000 2.6850000000 0.0000000000 0.0075724157 0.2050413556
0.070000 2.6850000000 0.0000000000 0.0077774570 0.2072248977
0.071000 2.6850000000 0.0000000000 0.0079846819 0.2093833299
0.072000 2.6850000000 0.0000000000 0.0081940652 0.2115166794
0.073000 2.6850000000 0.0000000000 0.0084055819 0.2136249824
0.074000 2.6850000000 0.0000000000 0.0086192069 0.2157082835
0.075000 2.6850000000 0.0000000000 0.0088349152 0.2177666355
0.076000 2.6850000000 0.0000000000 0.0090526818 0.2198000995
0.077000 2.6850000000 0.0000000000 0.0092724819 0.2218087444
0.078000 2.6850000000 0.0000000000 0.0094942907 0.2237926464
0.079000 2.6850000000 0.0000000000 0.0097180833 0.2257518896
0.080000 2.6850000000 0.0000000000 0.0099438352 0.2276865649
0.081000 2.6850000000 0.0000000000 0.0101715218 0.2295967702
0.082000 2.6850000000 0.0000000000 0.0104011185 0.2314826102
0.083000 2.6850000000 0.0000000000 0.0106326011 0.2333441959
0.084000 2.6850000000 0.0000000000 0.0108659453 0.2351816448
0.085000 2.6850000000 0.0000000000 0.0111011270 0.2369950802
0.086000 2.6850000000 0.0000000000 0.0113381221 0.2387846312
0.087000 2.6850000000 0.0000000000 0.0115769067 0.2405504325
0.088000 2.6850000000 0.0000000000 0.0118174571 0.2422926244
0.089000 2.6850000000 0.0000000000 0.0120597498 0.2440113518
0.090000 2.6850000000 0.0000000000 0.0123037611 0.2457067650
0.091000 2.6850000000 0.0000000000 0.0125494679 0.2473790187
0.092000 2.6850000000 0.0000000000 0.0127968469 0.2490282722
0.093000 2.6850000000 0.0000000000 0.0130458752 0.2506546890
0.094000 2.6850000000 0.0000000000 0.0132965299 0.2522584368
0.095000 2.6850000000 0.0000000000 0.0135487883 0.2538396870
0.096000 2.6850000000 0.0000000000 0.0138026280 0.2553986148
0.097000 2.6850000000 0.0000000000 0.0140580266 0.2569353986
0.098000 2.6850000000 0.0000000000 0.0143149620 0.2584502205
0.099000 2.6850000000 0.0000000000 0.0145734122 0.2599432651
0.100000 2.6850000000 0.0000000000 0.0148333555 0.2614147205
0.101000 2.6850000000 0.0000000000 0.0150947702 0.2628647770
0.102000 2.6850000000 0.0000000000 0.0153576350 0.2642936277
0.103000 2.6850000000 0.0000000000 0.0156219286 0.2657014679
0.104000 2.6850000000 0.0000000000 0.0158876301 0.2670884953
0.105000 2.6850000000 0.0000000000 0.0161547186 0.2684549094
0.106000 2.6850000000 0.0000000000 0.0164231735 0.2698009116
0.107000 2.6850000000 0.0000000000 0.0166929744 0.2711267049
0.108000 2.6850000000 0.0000000000 0.0169641011 0.2724324940
0.109000 2.6850000000 0.0000000000 0.0172365336 0.2737184848
0.110000 2.6850000000 0.0000000000 0.0175102521 0.2749848846
0.111000 2.6850000000 0.0000000000 0.0177852370 0.2762319016
0.112000 2.6850000000 0.0000000000 0.0180614689 0.2774597452
0.113000 2.6850000000 0.0000000000 0.0183389286 0.2786686252
0.114000 2.6850000000 0.0000000000 0.0186175972 0.2798587525
0.115000 2.6850000000 0.0000000000 0.0188974560 0.2810303383
0.116000 2.6850000000 0.0000000000 0.0191784863 0.2821835943
0.117000 2.6850000000 0.0000000000 0.0194606699 0.2833187325
0.118000 2.6850000000 0.0000000000 0.0197439886 0.2844359650
0.119000 2.6850000000 0.0000000000 0.0200284246 0.2855355041
0.120000 2.6850000000 0.0000000000 0.0203139601 0.2866175621
0.121000 2.6850000000 0.0000000000 0.0206005777 0.2876823509
0.122000 2.6850000000 0.0000000000 0.0208882600 0.2887300825
0.123000 2.6850000000 0.0000000000 0.0211769901 0.2897609683
0.124000 2.6850000000 0.0000000000 0.0214667511 0.2907752195
0.125000 2.6850000000 0.0000000000 0.0217575263 0.2917730466
0.126000 2.6850000000 0.0000000000 0.0220492993 0.2927546595
0.127000 2.6850000000 0.0000000000 0.0223420540 0.2937202675
0.128000 2.6850000000 0.0000000000 0.0226357743 0.2946700792
0.129000 2.6850000000 0.0000000000 0.0229304443 0.2956043022
0.130000 2.6850000000 0.0000000000 0.0232260486 0.2965231432
0.131000 2.6850000000 0.0000000000 0.0235225718 0.2974268081
0.132000 2.6850000000 0.0000000000 0.0238199986 0.2983155015
0.133000 2.6850000000 0.0000000000 0.0241183141 0.2991894270
0.134000 2.6850000000 0.0000000000 0.0244175035 0.3000487871
0.135000 2.6850000000 0.0000000000 0.0247175523 0.3008937831
0.136000 2.6850000000 0.0000000000 0.0250184461 0.3017246147
0.137000 2.6850000000 0.0000000000 0.0253201707 0.3025414807
0.138000 2.6850000000 0.0000000000 0.0256227122 0.3033445781
0.139000 2.6850000000 0.0000000000 0.0259260568 0.3041341029
0.140000 2.6850000000 0.0000000000 0.0262301909 0.3049102493
0.141000 2.6850000000 0.0000000000 0.0265351011 0.3056732101
0.142000 2.6850000000 0.0000000000 0.0268407743 0.3064231766
0.143000 2.6850000000 0.0000000000 0.0271471975 0.3071603384
0.144000 2.6850000000 0.0000000000 0.0274543579 0.3078848835
0.145000 2.6850000000 0.0000000000 0.0277622427 0.3085969985
0.146000 2.6850000000 0.0000000000 0.0280708397 0.3092968679
0.147000 2.6850000000 0.0000000000 0.0283801366 0.3099846747
0.148000 2.6850000000 0.0000000000 0.0286901213 0.3106606004
0.149000 2.6850000000 0.0000000000 0.0290007819 0.3113248244
0.150000 2.6850000000 0.0000000000 0.0293121067 0.3119775243
0.151000 2.6850000000 0.0000000000 0.0296240842 0.3126188763
0.152000 2.6850000000 0.0000000000 0.0299367031 0.3132490545
0.153000 2.6850000000 0.0000000000 0.0302499522 0.3138682311
0.154000 2.6850000000 0.0000000000 0.0305638204 0.3144765767
0.155000 2.6850000000 0.0000000000 0.0308782970 0.3150742598
0.156000 2.6850000000 0.0000000000 0.0311933712 0.3156614474
0.157000 2.6850000000 0.0000000000 0.0315090327 0.3162383042
0.158000 2.6850000000 0.0000000000 0.0318252710 0.3168049932
0.159000 2.6850000000 0.0000000000 0.0321420760 0.3173616758
0.160000 2.6850000000 0.0000000000 0.0324594376 0.3179085110
0.161000 2.6850000000 0.0000000000 0.0327773462 0.3184456562
0.162000 2.6850000000 0.0000000000 0.0330957918 0.3189732670
0.163000 2.6850000000 0.0000000000 0.0334147651 0.3194914968
0.164000 2.6850000000 0.0000000000 0.0337342566 0.3200004974
0.165000 2.6850000000 0.0000000000 0.0340542571 0.3205004185
0.166000 2.6850000000 0.0000000000 0.0343747575 0.3209914080
0.167000 2.6850000000 0.0000000000 0.0346957489 0.3214736120
0.168000 2.6850000000 0.0000000000 0.0350172225 0.3219471745
0.169000 2.6850000000 0.0000000000 0.0353391697 0.3224122378
0.170000 2.6850000000 0.0000000000 0.0356615819 0.3228689422
0.171000 2.6850000000 0.0000000000 0.0359844509 0.3233174263
0.172000 2.6850000000 0.0000000000 0.0363077683 0.3237578266
0.173000 2.6850000000 0.0000000000 0.0366315261 0.3241902780
0.174000 2.6850000000 0.0000000000 0.0369557164 0.3246149134
0.175000 2.6850000000 0.0000000000 0.0372803313 0.3250318639
0.176000 2.6850000000 0.0000000000 0.0376053632 0.3254412588
0.177000 2.6850000000 0.0000000000 0.0379308044 0.3258432256
0.178000 2.6850000000 0.0000000000 0.0382566477 0.3262378899
0.179000 2.6850000000 0.0000000000 0.0385828855 0.3266253757
0.180000 2.6850000000 0.0000000000 0.0389095109 0.3270058051
0.181000 2.6850000000 0.0000000000 0.0392365167 0.3273792984
0.182000 2.6850000000 0.0000000000 0.0395638960 0.3277459743
0.183000 2.6850000000 0.0000000000 0.0398916420 0.3281059495
0.184000 2.6850000000 0.0000000000 0.0402197480 0.3284593393
0.185000 2.6850000000 0.0000000000 0.0405482073 0.3288062571
0.186000 2.6850000000 0.0000000000 0.0408770135 0.3291468146
0.187000 2.6850000000 0.0000000000 0.0412061604 0.3294811220
0.188000 2.6850000000 0.0000000000 0.0415356415 0.3298092876
0.189000 2.6850000000 0.0000000000 0.0418654508 0.3301314182
0.190000 2.6850000000 0.0000000000 0.0421955822 0.3304476189
0.191000 2.6850000000 0.0000000000 0.0425260298 0.3307579933
0.192000 2.6850000000 0.0000000000 0.0428567878 0.3310626434
0.193000 2.6850000000 0.0000000000 0.0431878504 0.3313616694
0.194000 2.6850000000 0.0000000000 0.0435192121 0.3316551701
0.195000 2.6850000000 0.0000000000 0.0438508673 0.3319432428
0.196000 2.6850000000 0.0000000000 0.0441828105 0.3322259833
0.197000 2.6850000000 0.0000000000 0.0445150365 0.3325034856
0.198000 2.6850000000 0.0000000000 0.0448475400 0.3327758426
0.199000 2.6850000000 0.0000000000 0.0451803158 0.3330431453
0.200000 2.6850000000 0.0000000000 0.0455133590 0.3333054837
0.201000 2.6850000000 0.0000000000 0.0458466645 0.3335629460
0.202000 2.6850000000 0.0000000000 0.0461802274 0.3338156192
0.203000 2.6850000000 0.0000000000 0.0465140430 0.3340635886
0.204000 2.6850000000 0.0000000000 0.0468481066 0.3343069385
0.205000 2.6850000000 0.0000000000 0.0471824136 0.3345457515
0.206000 2.6850000000 0.0000000000 0.0475169593 0.3347801090
0.207000 2.6850000000 0.0000000000 0.0478517394 0.3350100911
0.208000 2.6850000000 0.0000000000 0.0481867495 0.3352357764
0.209000 2.6850000000 0.0000000000 0.0485219853 0.3354572424
0.210000 2.6850000000 0.0000000000 0.0488574425 0.3356745651
0.211000 2.6850000000 0.0000000000 0.0491931171 0.3358878195
0.212000 2.6850000000 0.0000000000 0.0495290049 0.3360970791
0.213000 2.6850000000 0.0000000000 0.0498651020 0.3363024164
0.214000 2.6850000000 0.0000000000 0.0502014044 0.3365039023
0.215000 2.6850000000 0.0000000000 0.0505379083 0.3367016070
0.216000 2.6850000000 0.0000000000 0.0508746099 0.3368955991
0.217000 2.6850000000 0.0000000000 0.0512115055 0.3370859463
0.218000 2.6850000000 0.0000000000 0.0515485915 0.3372727150
0.219000 2.6850000000 0.0000000000 0.0518858642 0.3374559705
0.220000 2.6850000000 0.0000000000 0.0522233202 0.3376357770
0.221000 2.6850000000 0.0000000000 0.0525609559 0.3378121975
0.222000 2.6850000000 0.0000000000 0.0528987681 0.3379852942
0.223000 2.6850000000 0.0000000000 0.0532367534 0.3381551279
0.224000 2.6850000000 0.0000000000 0.0535749085 0.3383217586
0.225000 2.6850000000 0.0000000000 0.0539132303 0.3384852450
0.226000 2.6850000000 0.0000000000 0.0542517156 0.3386456450
0.227000 2.6850000000 0.0000000000 0.0545903612 0.3388030154
0.228000 2.6850000000 0.0000000000 0.0549291642 0.3389574120
0.229000 2.6850000000 0.0000000000 0.0552681216 0.3391088897
0.230000 2.6850000000 0.0000000000 0.0556072305 0.3392575024
0.231000 2.6850000000 0.0000000000 0.0559464880 0.3394033031
0.232000 2.6850000000 0.0000000000 0.0562858913 0.3395463436
0.233000 2.6850000000 0.0000000000 0.0566254377 0.3396866752
0.234000 2.6850000000 0.0000000000 0.0569651243 0.3398243481
0.235000 2.6850000000 0.0000000000 0.0573049487 0.3399594114
0.236000 2.6850000000 0.0000000000 0.0576449081 0.3400919137
0.237000 2.6850000000 0.0000000000 0.0579850000 0.3402219026
0.238000 2.6850000000 0.0000000000 0.0583252219 0.3403494247
0.239000 2.6850000000 0.0000000000 0.0586655713 0.3404745260
0.240000 2.6850000000 0.0000000000 0.0590060459 0.3405972516
0.241000 2.6850000000 0.0000000000 0.0593466431 0.3407176456
0.242000 2.6850000000 0.0000000000 0.0596873608 0.3408357516
0.243000 2.6850000000 0.0000000000 0.0600281965 0.3409516123
0.244000 2.6850000000 0.0000000000 0.0603691481 0.3410652696
0.245000 2.6850000000 0.0000000000 0.0607102134 0.3411767647
0.246000 2.6850000000 0.0000000000 0.0610513902 0.3412861380
0.247000 2.6850000000 0.0000000000 0.0613926763 0.3413934292
0.248000 2.6850000000 0.0000000000 0.0617340697 0.3414986773
0.249000 2.6850000000 0.0000000000 0.0620755684 0.3416019206
0.250000 2.6850000000 0.0000000000 0.0624171703 0.3417031967
0.251000 2.6850000000 0.0000000000 0.0627588735 0.3418025425
0.252000 2.6850000000 0.0000000000 0.0631006761 0.3418999942
0.253000 2.6850000000 0.0000000000 0.0634425761 0.3419955874
0.254000 2.6850000000 0.0000000000 0.0637845716 0.3420893570
0.255000 2.6850000000 0.0000000000 0.0641266610 0.3421813373
0.256000 2.6850000000 0.0000000000 0.0644688423 0.3422715620
0.257000 2.6850000000 0.0000000000 0.0648111139 0.3423600642
0.258000 2.6850000000 0.0000000000 0.0651534740 0.3424468762
0.259000 2.6850000000 0.0000000000 0.0654959208 0.3425320300
0.260000 2.6850000000 0.0000000000 0.0658384529 0.3426155567
0.261000 2.6850000000 0.0000000000 0.0661810684 0.3426974872
0.262000 2.6850000000 0.0000000000 0.0665237659 0.3427778514
0.263000 2.6850000000 0.0000000000 0.0668665438 0.3428566791
0.264000 2.6850000000 0.0000000000 0.0672094004 0.3429339992
0.265000 2.6850000000 0.0000000000 0.0675523344 0.3430098402
0.266000 2.6850000000 0.0000000000 0.0678953443 0.3430842301
0.267000 2.6850000000 0.0000000000 0.0682384285 0.3431571964
0.268000 2.6850000000 0.0000000000 0.0685815857 0.3432287659
0.269000 2.6850000000 0.0000000000 0.0689248145 0.3432989652
0.270000 2.6850000000 0.0000000000 0.0692681134 0.3433678202
0.271000 2.6850000000 0.0000000000 0.0696114813 0.3434353563
0.272000 2.6850000000 0.0000000000 0.0699549166 0.3435015987
0.273000 2.6850000000 0.0000000000 0.0702984182 0.3435665717
0.274000 2.6850000000 0.0000000000 0.0706419848 0.3436302996
0.275000 2.6850000000 0.0000000000 0.0709856151 0.3436928058
0.276000 2.6850000000 0.0000000000 0.0713293079 0.3437541137
0.277000 2.6850000000 0.0000000000 0.0716730620 0.3438142460
0.278000 2.6850000000 0.0000000000 0.0720168763 0.3438732250
0.279000 2.6850000000 0.0000000000 0.0723607495 0.3439310727
0.280000 2.6850000000 0.0000000000 0.0727046806 0.3439878106
0.281000 2.6850000000 0.0000000000 0.0730486684 0.3440434597
0.282000 2.6850000000 0.0000000000 0.0733927118 0.3440980408
0.283000 2.6850000000 0.0000000000 0.0737368099 0.3441515742
0.284000 2.6850000000 0.0000000000 0.0740809614 0.3442040800
0.285000 2.6850000000 0.0000000000 0.0744251655 0.3442555775
0.286000 2.6850000000 0.0000000000 0.0747694211 0.3443060861
0.287000 2.6850000000 0.0000000000 0.0751137272 0.3443556247
0.288000 2.6850000000 0.0000000000 0.0754580828 0.3444042116
0.289000 2.6850000000 0.0000000000 0.0758024870 0.3444518650
0.290000 2.6850000000 0.0000000000 0.0761469389 0.3444986028
0.291000 2.6850000000 0.0000000000 0.0764914375 0.3445444425
0.292000 2.6850000000 0.0000000000 0.0768359819 0.3445894011
0.293000 2.6850000000 0.0000000000 0.0771805713 0.3446334954
0.294000 2.6850000000 0.0000000000 0.0775252048 0.3446767421
0.295000 2.6850000000 0.0000000000 0.0778698816 0.3447191572
0.296000 2.6850000000 0.0000000000 0.0782146007 0.3447607567
0.297000 2.6850000000 0.0000000000 0.0785593615 0.3448015562
0.298000 2.6850000000 0.0000000000 0.0789041630 0.3448415709
0.299000 2.6850000000 0.0000000000 0.0792490046 0.3448808158
0.300000 2.6850000000 0.0000000000 0.0795938854 0.3449193057
0.301000 2.6850000000 0.0000000000 0.0799388047 0.3449570550
0.302000 2.6850000000 0.0000000000 0.0802837618 0.3449940779
