#   t       A            B            C            D
0.082000 0.1329889169 2.3444264236 0.2462842212 -0.2760838668
0.083000 0.1353361225 2.3499731338 0.2460081737 -0.2760192499
0.084000 0.1376887738 2.3553185129 0.2457321907 -0.2759546472
0.085000 0.1400466729 2.3604692154 0.2454562724 -0.2758900585
0.086000 0.1424096283 2.3654316911 0.2451804186 -0.2758254841
0.087000 0.1447774549 2.3702121901 0.2449046294 -0.2757609237
0.088000 0.1471499738 2.3748167683 0.2446289048 -0.2756963775
0.089000 0.1495270119 2.3792512922 0.2443532447 -0.2756318454
0.090000 0.1519084022 2.3835214444 0.2440776491 -0.2755673275
0.091000 0.1542939829 2.3876327281 0.2438021181 -0.2755028236
0.092000 0.1566835979 2.3915904722 0.2435266515 -0.2754383339
0.093000 0.1590770962 2.3953998362 0.2432512494 -0.2753738584
0.094000 0.1614743320 2.3990658148 0.2429759118 -0.2753093969
0.095000 0.1638751643 2.4025932428 0.2427006386 -0.2752449496
0.096000 0.1662794568 2.4059867991 0.2424254299 -0.2751805163
0.097000 0.1686870780 2.4092510120 0.2421502856 -0.2751160972
0.098000 0.1710979008 2.4123902628 0.2418752057 -0.2750516922
0.099000 0.1735118022 2.4154087905 0.2416001902 -0.2749873013
0.100000 0.1759286637 2.4183106961 0.2413252391 -0.2749229245
0.101000 0.1783483706 2.4210999464 0.2410503523 -0.2748585618
0.102000 0.1807708121 2.4237803782 0.2407755299 -0.2747942132
0.103000 0.1831958814 2.4263557020 0.2405007719 -0.2747298787
0.104000 0.1856234750 2.4288295063 0.2402260782 -0.2746655582
0.105000 0.1880534933 2.4312052608 0.2399514488 -0.2746012519
0.106000 0.1904858398 2.4334863203 0.2396768836 -0.2745369597
0.107000 0.1929204215 2.4356759283 0.2394023828 -0.2744726815
0.108000 0.1953571485 2.4377772203 0.2391279463 -0.2744084174
0.109000 0.1977959340 2.4397932272 0.2388535740 -0.2743441674
0.110000 0.2002366942 2.4417268788 0.2385792659 -0.2742799315
0.111000 0.2026793482 2.4435810067 0.2383050221 -0.2742157096
0.112000 0.2051238178 2.4453583473 0.2380308425 -0.2741515018
0.113000 0.2075700275 2.4470615455 0.2377567270 -0.2740873081
0.114000 0.2100179045 2.4486931566 0.2374826758 -0.2740231285
0.115000 0.2124673784 2.4502556503 0.2372086887 -0.2739589629
