#   t       A            B            C            D
0.000000 2.6850000000 0.0000000000 0.0000016781 0.0033772266
0.001000 2.6850000000 0.0000000000 0.0000067333 0.0067539749
0.002000 2.6850000000 0.0000000000 0.0000151648 0.0101296051
0.003000 2.6850000000 0.0000000000 0.0000269711 0.0135034779
0.004000 2.6850000000 0.0000000000 0.0000421501 0.0168749553
0.005000 2.6850000000 0.0000000000 0.0000606992 0.0202434010
0.006000 2.6850000000 0.0000000000 0.0000826151 0.0236081810
0.007000 2.6850000000 0.0000000000 0.0001078936 0.0269686640
0.008000 2.6850000000 0.0000000000 0.0001365302 0.0303242216
0.009000 2.6850000000 0.0000000000 0.0001685198 0.0336742294
0.010000 2.6850000000 0.0000000000 0.0002038563 0.0370180666
0.011000 2.6850000000 0.0000000000 0.0002425334 0.0403551174
0.012000 2.6850000000 0.0000000000 0.0002845439 0.0436847706
0.013000 2.6850000000 0.0000000000 0.0003298802 0.0470064208
0.014000 2.6850000000 0.0000000000 0.0003785339 0.0503194681
0.015000 2.6850000000 0.0000000000 0.0004304962 0.0536233190
0.016000 2.6850000000 0.0000000000 0.0004857575 0.0569173869
0.017000 2.6850000000 0.0000000000 0.0005443079 0.0602010918
0.018000 2.6850000000 0.0000000000 0.0006061365 0.0634738617
0.019000 2.6850000000 0.0000000000 0.0006712323 0.0667351323
0.020000 2.6850000000 0.0000000000 0.0007395835 0.0699843472
0.021000 2.6850000000 0.0000000000 0.0008111776 0.0732209591
0.022000 2.6850000000 0.0000000000 0.0008860019 0.0764444293
0.023000 2.6850000000 0.0000000000 0.0009640430 0.0796542284
0.024000 2.6850000000 0.0000000000 0.0010452869 0.0828498368
0.025000 2.6850000000 0.0000000000 0.0011297191 0.0860307444
0.026000 2.6850000000 0.0000000000 0.0012173247 0.0891964516
0.027000 2.6850000000 0.0000000000 0.0013080884 0.0923464692
0.028000 2.6850000000 0.0000000000 0.0014019940 0.0954803185
0.029000 2.6850000000 0.0000000000 0.0014990253 0.0985975318
0.030000 2.6850000000 0.0000000000 0.0015991654 0.1016976529
0.031000 2.6850000000 0.0000000000 0.0017023969 0.1047802365
0.032000 2.6850000000 0.0000000000 0.0018087022 0.1078448493
0.033000 2.6850000000 0.0000000000 0.0019180629 0.1108910694
0.034000 2.6850000000 0.0000000000 0.0020304606 0.1139184873
0.035000 2.6850000000 0.0000000000 0.0021458762 0.1169267052
0.036000 2.6850000000 0.0000000000 0.0022642904 0.1199153376
0.037000 2.6850000000 0.0000000000 0.0023856833 0.1228840115
0.038000 2.6850000000 0.0000000000 0.0025100348 0.1258323663
0.039000 2.6850000000 0.0000000000 0.0026373245 0.1287600538
0.040000 2.6850000000 0.0000000000 0.0027675314 0.1316667387
0.041000 2.6850000000 0.0000000000 0.0029006345 0.1345520980
0.042000 2.6850000000 0.0000000000 0.0030366122 0.1374158219
0.043000 2.6850000000 0.0000000000 0.0031754428 0.1402576129
0.044000 2.6850000000 0.0000000000 0.0033171042 0.1430771866
0.045000 2.6850000000 0.0000000000 0.0034615740 0.1458742712
0.046000 2.6850000000 0.0000000000 0.0036088296 0.1486486078
0.047000 2.6850000000 0.0000000000 0.0037588482 0.1513999501
